path,kind,name,group,batch,prompt,negative
"src/sprites/scenes/earth.webp","scene","Sunny Meadow","world backdrop","scenes","Sunny Meadow, the Earth-like home world at midday: rolling green hills and a sandy clearing, honey-gold sunlight, a clean sky-blue sky with a pale moon and a small ringed planet low on the horizon, wildflowers, ferns and a few small cyan crystals in the grass, a stream on one side. The camp you stand in on this world. Layout, which must be followed because the game stands objects on these exact spots: a large raised round launch pad with a few steps, its top centred at 36% across, 44% down; a small flat clearing at 55% across, 55% down for the lab; one raised round plinth at 79% across, 47% down for the world's Heart; and six flat round stone plinths for producers, their tops at 27% across, 74% down; 51% across, 74% down; 79% across, 74% down; 36% across, 90% down; 64% across, 90% down; 15% across, 61% down. Every plinth and pad is empty. Paths of open ground link them. The area between them stays calm and simple — the merge board is also drawn over this picture, blurred. Composition reference: art/guides/camp_layout.png. Style and layout reference: src/scenes/camp_earth.webp. Painted mobile-game background in the style of Travel Town: soft glossy semi-3D cartoon painting, bright saturated friendly colour, warm light from the upper left, clean shapes, no photorealism. Portrait 1086x1448 (3:4), opaque, seen from slightly above like a game map. Keep everything important inside the middle 70% of the width — tall phones crop the sides. No characters, no text, no letters, no UI, no watermark.","characters, people, animals, text, letters, UI, buttons, watermark, photo, photorealistic, dark, muddy colours, objects on the plinths"
"src/sprites/scenes/luna.webp","scene","Crater Camp","world backdrop","scenes","Crater Camp on Luna, a small lilac moon under a starry sky: pale silver-lilac crater ground with soft round craters, slate-blue shadows, cyan glowing crystals and glow-plants around the edges, a big blue ringed planet hanging on the horizon, two little dome habitats and an antenna far in the distance. The camp you stand in on this world. Layout, which must be followed because the game stands objects on these exact spots: a large raised round launch pad with a few steps, its top centred at 36% across, 44% down; a small flat clearing at 55% across, 55% down for the lab; one raised round plinth at 79% across, 47% down for the world's Heart; and six flat round stone plinths for producers, their tops at 27% across, 74% down; 51% across, 74% down; 79% across, 74% down; 36% across, 90% down; 64% across, 90% down; 15% across, 61% down. Every plinth and pad is empty. Paths of open ground link them. The area between them stays calm and simple — the merge board is also drawn over this picture, blurred. Composition reference: art/guides/camp_layout.png. Style and layout reference: src/scenes/camp_earth.webp. Painted mobile-game background in the style of Travel Town: soft glossy semi-3D cartoon painting, bright saturated friendly colour, warm light from the upper left, clean shapes, no photorealism. Portrait 1086x1448 (3:4), opaque, seen from slightly above like a game map. Keep everything important inside the middle 70% of the width — tall phones crop the sides. No characters, no text, no letters, no UI, no watermark.","characters, people, animals, text, letters, UI, buttons, watermark, photo, photorealistic, dark, muddy colours, objects on the plinths"
"src/sprites/scenes/cindra.webp","scene","Ember Hollow","world backdrop","scenes","Ember Hollow on Cindra, a volcanic world at dusk: dark purple-black obsidian ground, rivers of glowing orange lava at the edges, a smoking volcano in the distance under a magenta-to-orange sky, ash-grey haze, mushroom trees glowing warm orange, the lava glow lighting everything warmly. The camp you stand in on this world. Layout, which must be followed because the game stands objects on these exact spots: a large raised round launch pad with a few steps, its top centred at 36% across, 44% down; a small flat clearing at 55% across, 55% down for the lab; one raised round plinth at 79% across, 47% down for the world's Heart; and six flat round stone plinths for producers, their tops at 27% across, 74% down; 51% across, 74% down; 79% across, 74% down; 36% across, 90% down; 64% across, 90% down; 15% across, 61% down. Every plinth and pad is empty. Paths of open ground link them. The area between them stays calm and simple — the merge board is also drawn over this picture, blurred. Composition reference: art/guides/camp_layout.png. Style and layout reference: src/scenes/camp_earth.webp. Painted mobile-game background in the style of Travel Town: soft glossy semi-3D cartoon painting, bright saturated friendly colour, warm light from the upper left, clean shapes, no photorealism. Portrait 1086x1448 (3:4), opaque, seen from slightly above like a game map. Keep everything important inside the middle 70% of the width — tall phones crop the sides. No characters, no text, no letters, no UI, no watermark.","characters, people, animals, text, letters, UI, buttons, watermark, photo, photorealistic, dark, muddy colours, objects on the plinths"
"src/sprites/scenes/nerith.webp","scene","Tidal Shallows","world backdrop","scenes","Tidal Shallows on Nerith, an ocean world: bright turquoise shallow water, wet-sand islands and sandbars as the ground, coral-pink reefs visible under the clear water, pearl-white foam at the edges, drowned domed ruins poking out of the sea in the distance, two small suns low in a pale sky. The camp you stand in on this world. Layout, which must be followed because the game stands objects on these exact spots: a large raised round launch pad with a few steps, its top centred at 36% across, 44% down; a small flat clearing at 55% across, 55% down for the lab; one raised round plinth at 79% across, 47% down for the world's Heart; and six flat round stone plinths for producers, their tops at 27% across, 74% down; 51% across, 74% down; 79% across, 74% down; 36% across, 90% down; 64% across, 90% down; 15% across, 61% down. Every plinth and pad is empty. Paths of open ground link them. The area between them stays calm and simple — the merge board is also drawn over this picture, blurred. Composition reference: art/guides/camp_layout.png. Style and layout reference: src/scenes/camp_earth.webp. Painted mobile-game background in the style of Travel Town: soft glossy semi-3D cartoon painting, bright saturated friendly colour, warm light from the upper left, clean shapes, no photorealism. Portrait 1086x1448 (3:4), opaque, seen from slightly above like a game map. Keep everything important inside the middle 70% of the width — tall phones crop the sides. No characters, no text, no letters, no UI, no watermark.","characters, people, animals, text, letters, UI, buttons, watermark, photo, photorealistic, dark, muddy colours, objects on the plinths"
"src/sprites/scenes/vela.webp","scene","Aurora Reach","world backdrop","scenes","Aurora Reach on Vela, cloudtops at night: a deep violet starry sky with sweeping teal aurora ribbons, soft white cloud islands as the ground, starlight-gold lanterns on posts, floating rocks and a distant cloud castle. The camp you stand in on this world. Layout, which must be followed because the game stands objects on these exact spots: a large raised round launch pad with a few steps, its top centred at 36% across, 44% down; a small flat clearing at 55% across, 55% down for the lab; one raised round plinth at 79% across, 47% down for the world's Heart; and six flat round stone plinths for producers, their tops at 27% across, 74% down; 51% across, 74% down; 79% across, 74% down; 36% across, 90% down; 64% across, 90% down; 15% across, 61% down. Every plinth and pad is empty. Paths of open ground link them. The area between them stays calm and simple — the merge board is also drawn over this picture, blurred. Composition reference: art/guides/camp_layout.png. Style and layout reference: src/scenes/camp_earth.webp. Painted mobile-game background in the style of Travel Town: soft glossy semi-3D cartoon painting, bright saturated friendly colour, warm light from the upper left, clean shapes, no photorealism. Portrait 1086x1448 (3:4), opaque, seen from slightly above like a game map. Keep everything important inside the middle 70% of the width — tall phones crop the sides. No characters, no text, no letters, no UI, no watermark.","characters, people, animals, text, letters, UI, buttons, watermark, photo, photorealistic, dark, muddy colours, objects on the plinths"
"src/sprites/scenes/lab.webp","scene","Research Lab","world backdrop","scenes","The inside of a small cosy research lab built into a rocket: white panels with brass trim, warm lamps, pipes and dials. A curved white-and-brass workbench runs across the middle with two round empty sockets side by side, at 26% across, 55% down and 44% across, 55% down, and a third, larger glowing socket at 65% across, 55% down. A glass cabinet of shelves on the left with an open recipe book at 28% across, 33% down. A big round porthole on the right, around 90% across, 50% down, looking out at floating islands and stars. All sockets empty. Composition reference: art/guides/lab_layout.png; style reference: src/scenes/lab.webp. Painted mobile-game background in the style of Travel Town: soft glossy semi-3D cartoon painting, bright saturated friendly colour, warm light from the upper left, clean shapes, no photorealism. Portrait 1086x1448 (3:4), opaque, seen from slightly above like a game map. Keep everything important inside the middle 70% of the width — tall phones crop the sides. No characters, no text, no letters, no UI, no watermark.","characters, people, text, letters, UI, buttons, watermark, photo, photorealistic, dark, muddy colours, objects in the sockets"
"src/sprites/producers/tree.png","producer","Big Tree","producer (Sunny Meadow)","starters","Big Tree — a big friendly round-crowned tree with a thick trunk, a few twigs at its roots, standing on its own small round mound of earth. A source the player taps for Twig, Branch. Slightly taller than wide, planted and heavy, clearly scenery rather than loot; the mound is part of the sprite and the only ground shown. Sunny Meadow palette — grass green, honey amber, warm tan, sky blue. Mobile merge-game item in the style of Travel Town: one chunky, rounded, toy-like object, soft glossy semi-3D painted rendering, bright saturated friendly colours, gentle warm key light from the upper left with one soft white highlight on the top surface, shaded side a deeper richer version of the base colour (never grey or black), a thin darker warm-brown edge line, a small soft contact shadow directly beneath. Three-quarter view from about 30 degrees above, as if sitting on a table. Isolated on a plain transparent background, centred, filling about 80% of the frame, simple bold silhouette that still reads as a 60-pixel icon. No text, no letters, no numbers, no frame, no card, no scenery, no watermark. 512x512","text, letters, numbers, watermark, signature, logo, background scenery, ground plane, frame, border, card, multiple objects, cropped, photo, photorealistic, realistic texture, grain, noise, blurry, dark, gloomy, muddy colours, neon, flat vector clip art, black outline"
"src/sprites/producers/rocks.png","producer","Rock Pile","producer (Sunny Meadow)","starters","Rock Pile — a heap of rounded grey boulders with a pickaxe leaning on it, standing on its own small round mound of earth. A source the player taps for Pebble, Rock. Slightly taller than wide, planted and heavy, clearly scenery rather than loot; the mound is part of the sprite and the only ground shown. Sunny Meadow palette — grass green, honey amber, warm tan, sky blue. Mobile merge-game item in the style of Travel Town: one chunky, rounded, toy-like object, soft glossy semi-3D painted rendering, bright saturated friendly colours, gentle warm key light from the upper left with one soft white highlight on the top surface, shaded side a deeper richer version of the base colour (never grey or black), a thin darker warm-brown edge line, a small soft contact shadow directly beneath. Three-quarter view from about 30 degrees above, as if sitting on a table. Isolated on a plain transparent background, centred, filling about 80% of the frame, simple bold silhouette that still reads as a 60-pixel icon. No text, no letters, no numbers, no frame, no card, no scenery, no watermark. 512x512","text, letters, numbers, watermark, signature, logo, background scenery, ground plane, frame, border, card, multiple objects, cropped, photo, photorealistic, realistic texture, grain, noise, blurry, dark, gloomy, muddy colours, neon, flat vector clip art, black outline"
"src/sprites/producers/geyser.png","producer","Moon Geyser","producer (Crater Camp)","starters","Moon Geyser — a crater vent puffing lilac moon dust with crystals around its rim, standing on its own small round mound of earth. A source the player taps for Moon Rock, Moon Shard. Slightly taller than wide, planted and heavy, clearly scenery rather than loot; the mound is part of the sprite and the only ground shown. Crater Camp palette — lilac, pale silver, slate blue, glowing cyan. Mobile merge-game item in the style of Travel Town: one chunky, rounded, toy-like object, soft glossy semi-3D painted rendering, bright saturated friendly colours, gentle warm key light from the upper left with one soft white highlight on the top surface, shaded side a deeper richer version of the base colour (never grey or black), a thin darker warm-brown edge line, a small soft contact shadow directly beneath. Three-quarter view from about 30 degrees above, as if sitting on a table. Isolated on a plain transparent background, centred, filling about 80% of the frame, simple bold silhouette that still reads as a 60-pixel icon. No text, no letters, no numbers, no frame, no card, no scenery, no watermark. 512x512","text, letters, numbers, watermark, signature, logo, background scenery, ground plane, frame, border, card, multiple objects, cropped, photo, photorealistic, realistic texture, grain, noise, blurry, dark, gloomy, muddy colours, neon, flat vector clip art, black outline"
"src/sprites/producers/glowpod.png","producer","Glow Pod","producer (Crater Camp)","starters","Glow Pod — a big glowing seed pod on a stalk, softly pulsing cyan, standing on its own small round mound of earth. A source the player taps for Glow Spore, Glow Bulb. Slightly taller than wide, planted and heavy, clearly scenery rather than loot; the mound is part of the sprite and the only ground shown. Crater Camp palette — lilac, pale silver, slate blue, glowing cyan. Mobile merge-game item in the style of Travel Town: one chunky, rounded, toy-like object, soft glossy semi-3D painted rendering, bright saturated friendly colours, gentle warm key light from the upper left with one soft white highlight on the top surface, shaded side a deeper richer version of the base colour (never grey or black), a thin darker warm-brown edge line, a small soft contact shadow directly beneath. Three-quarter view from about 30 degrees above, as if sitting on a table. Isolated on a plain transparent background, centred, filling about 80% of the frame, simple bold silhouette that still reads as a 60-pixel icon. No text, no letters, no numbers, no frame, no card, no scenery, no watermark. 512x512","text, letters, numbers, watermark, signature, logo, background scenery, ground plane, frame, border, card, multiple objects, cropped, photo, photorealistic, realistic texture, grain, noise, blurry, dark, gloomy, muddy colours, neon, flat vector clip art, black outline"
"src/sprites/producers/lavavent.png","producer","Lava Vent","producer (Ember Hollow)","starters","Lava Vent — a squat volcanic vent glowing orange, embers floating up, standing on its own small round mound of earth. A source the player taps for Ember, Cinder. Slightly taller than wide, planted and heavy, clearly scenery rather than loot; the mound is part of the sprite and the only ground shown. Ember Hollow palette — ember orange, magma red, obsidian purple-black, ash grey. Mobile merge-game item in the style of Travel Town: one chunky, rounded, toy-like object, soft glossy semi-3D painted rendering, bright saturated friendly colours, gentle warm key light from the upper left with one soft white highlight on the top surface, shaded side a deeper richer version of the base colour (never grey or black), a thin darker warm-brown edge line, a small soft contact shadow directly beneath. Three-quarter view from about 30 degrees above, as if sitting on a table. Isolated on a plain transparent background, centred, filling about 80% of the frame, simple bold silhouette that still reads as a 60-pixel icon. No text, no letters, no numbers, no frame, no card, no scenery, no watermark. 512x512","text, letters, numbers, watermark, signature, logo, background scenery, ground plane, frame, border, card, multiple objects, cropped, photo, photorealistic, realistic texture, grain, noise, blurry, dark, gloomy, muddy colours, neon, flat vector clip art, black outline"
"src/sprites/producers/shroomlog.png","producer","Shroom Log","producer (Ember Hollow)","starters","Shroom Log — a charred log sprouting grey-and-orange mushrooms, standing on its own small round mound of earth. A source the player taps for Ash Spore, Ash Shroom. Slightly taller than wide, planted and heavy, clearly scenery rather than loot; the mound is part of the sprite and the only ground shown. Ember Hollow palette — ember orange, magma red, obsidian purple-black, ash grey. Mobile merge-game item in the style of Travel Town: one chunky, rounded, toy-like object, soft glossy semi-3D painted rendering, bright saturated friendly colours, gentle warm key light from the upper left with one soft white highlight on the top surface, shaded side a deeper richer version of the base colour (never grey or black), a thin darker warm-brown edge line, a small soft contact shadow directly beneath. Three-quarter view from about 30 degrees above, as if sitting on a table. Isolated on a plain transparent background, centred, filling about 80% of the frame, simple bold silhouette that still reads as a 60-pixel icon. No text, no letters, no numbers, no frame, no card, no scenery, no watermark. 512x512","text, letters, numbers, watermark, signature, logo, background scenery, ground plane, frame, border, card, multiple objects, cropped, photo, photorealistic, realistic texture, grain, noise, blurry, dark, gloomy, muddy colours, neon, flat vector clip art, black outline"
"src/sprites/producers/shellbed.png","producer","Shell Bed","producer (Tidal Shallows)","starters","Shell Bed — a sandbar heaped with pink shells, standing on its own small round mound of warm sand. A source the player taps for Shell Chip, Sea Shell. Slightly taller than wide, planted and heavy, clearly scenery rather than loot; the mound is part of the sprite and the only ground shown. Tidal Shallows palette — turquoise, coral pink, pearl white, wet sand. Mobile merge-game item in the style of Travel Town: one chunky, rounded, toy-like object, soft glossy semi-3D painted rendering, bright saturated friendly colours, gentle warm key light from the upper left with one soft white highlight on the top surface, shaded side a deeper richer version of the base colour (never grey or black), a thin darker warm-brown edge line, a small soft contact shadow directly beneath. Three-quarter view from about 30 degrees above, as if sitting on a table. Isolated on a plain transparent background, centred, filling about 80% of the frame, simple bold silhouette that still reads as a 60-pixel icon. No text, no letters, no numbers, no frame, no card, no scenery, no watermark. 512x512","text, letters, numbers, watermark, signature, logo, background scenery, ground plane, frame, border, card, multiple objects, cropped, photo, photorealistic, realistic texture, grain, noise, blurry, dark, gloomy, muddy colours, neon, flat vector clip art, black outline"
"src/sprites/producers/kelpbed.png","producer","Kelp Bed","producer (Tidal Shallows)","starters","Kelp Bed — a clump of kelp waving from a sandy mound, standing on its own small round mound of warm sand. A source the player taps for Kelp Leaf, Kelp Frond. Slightly taller than wide, planted and heavy, clearly scenery rather than loot; the mound is part of the sprite and the only ground shown. Tidal Shallows palette — turquoise, coral pink, pearl white, wet sand. Mobile merge-game item in the style of Travel Town: one chunky, rounded, toy-like object, soft glossy semi-3D painted rendering, bright saturated friendly colours, gentle warm key light from the upper left with one soft white highlight on the top surface, shaded side a deeper richer version of the base colour (never grey or black), a thin darker warm-brown edge line, a small soft contact shadow directly beneath. Three-quarter view from about 30 degrees above, as if sitting on a table. Isolated on a plain transparent background, centred, filling about 80% of the frame, simple bold silhouette that still reads as a 60-pixel icon. No text, no letters, no numbers, no frame, no card, no scenery, no watermark. 512x512","text, letters, numbers, watermark, signature, logo, background scenery, ground plane, frame, border, card, multiple objects, cropped, photo, photorealistic, realistic texture, grain, noise, blurry, dark, gloomy, muddy colours, neon, flat vector clip art, black outline"
"src/sprites/producers/cloudbank.png","producer","Cloud Bank","producer (Aurora Reach)","starters","Cloud Bank — a big soft cloud bank, puffing little clouds from its top, standing on its own small round mound of soft blue-white cloud. A source the player taps for Wisp, Cloudlet. Slightly taller than wide, planted and heavy, clearly scenery rather than loot; the mound is part of the sprite and the only ground shown. Aurora Reach palette — violet, aurora teal, starlight gold, cloud white. Mobile merge-game item in the style of Travel Town: one chunky, rounded, toy-like object, soft glossy semi-3D painted rendering, bright saturated friendly colours, gentle warm key light from the upper left with one soft white highlight on the top surface, shaded side a deeper richer version of the base colour (never grey or black), a thin darker warm-brown edge line, a small soft contact shadow directly beneath. Three-quarter view from about 30 degrees above, as if sitting on a table. Isolated on a plain transparent background, centred, filling about 80% of the frame, simple bold silhouette that still reads as a 60-pixel icon. No text, no letters, no numbers, no frame, no card, no scenery, no watermark. 512x512","text, letters, numbers, watermark, signature, logo, background scenery, ground plane, frame, border, card, multiple objects, cropped, photo, photorealistic, realistic texture, grain, noise, blurry, dark, gloomy, muddy colours, neon, flat vector clip art, black outline"
